depth	mC	CG	CHG	CHH
53	7	0	2	7
53	8	0	0	8
53	9	0	3	10
53	10	1	0	5
53	11	0	3	3
53	12	1	1	3
53	13	0	2	1
53	14	1	0	3
53	15	0	1	4
53	16	0	2	4
53	17	0	0	4
53	18	0	1	2
53	19	0	2	2
53	20	1	0	8
53	21	1	1	5
53	22	1	2	2
53	23	1	1	1
53	24	1	0	0
53	25	1	3	2
53	26	1	0	0
53	27	0	1	1
53	28	0	0	4
53	29	0	3	1
53	30	0	1	0
53	31	1	2	0
53	32	0	3	0
53	33	1	0	0
53	34	0	3	0
53	35	0	2	0
53	36	0	3	0
53	37	1	2	0
53	38	1	1	0
53	39	3	2	1
53	40	2	0	1
53	41	1	0	0
53	42	4	0	0
53	43	4	0	0
53	44	1	0	0
53	45	2	0	0
53	46	1	3	0
53	47	4	0	0
53	48	3	0	0
53	49	3	0	0
53	50	5	0	0
53	51	4	0	0
53	52	2	0	0
53	53	1	0	0
54	0	14	13	128
54	1	4	5	56
54	2	1	1	27
54	3	0	0	18
54	4	0	4	12
54	5	0	0	7
54	6	0	1	9
54	7	0	0	6
54	8	0	1	7
54	9	0	3	4
54	10	0	1	4
54	11	0	3	4
54	12	0	1	5
54	13	0	1	2
54	14	0	1	3
54	15	0	2	2
54	16	0	1	3
54	17	0	1	3
54	18	0	1	2
54	19	0	0	2
54	20	0	0	1
54	21	0	1	1
54	22	0	1	1
54	23	1	2	1
54	24	0	1	1
54	25	2	0	1
54	26	0	1	0
54	27	1	1	1
54	28	0	4	0
54	29	1	1	2
54	30	0	2	0
54	31	0	2	0
54	32	1	2	0
54	33	2	2	0
54	34	1	0	0
54	35	0	2	0
54	36	1	0	0
54	38	4	1	0
54	39	1	0	0
54	40	1	2	0
54	42	2	0	0
54	43	2	2	0
54	44	2	0	0
54	45	1	1	0
54	46	2	0	0
54	47	3	0	0
54	48	4	0	0
54	50	4	0	1
54	51	1	0	0
54	52	2	0	0
55	0	14	22	120
55	1	4	7	68
55	2	0	3	32
55	3	0	2	22
55	4	0	1	11
55	5	0	1	14
55	6	0	0	7
55	7	0	1	3
55	8	0	0	8
55	9	0	0	6
55	10	1	0	6
55	11	0	0	4
55	12	1	0	5
55	13	0	1	6
55	14	1	0	2
55	15	0	1	3
55	16	0	3	4
55	17	0	0	2
55	18	0	1	1
55	19	0	0	2
55	20	0	1	1
55	21	0	1	1
55	22	0	0	4
55	23	0	1	1
55	24	0	1	1
55	25	0	2	2
55	26	0	3	0
55	27	0	0	1
55	28	0	0	1
55	29	0	1	0
55	30	2	2	1
55	31	0	2	0
55	33	0	1	1
55	35	0	1	0
55	36	0	1	0
55	37	0	1	0
55	38	1	0	0
55	39	2	0	0
55	40	1	1	0
55	41	1	1	1
55	42	1	0	0
55	44	0	1	0
55	45	2	1	0
55	46	1	0	0
55	47	4	0	0
55	48	1	0	0
55	49	7	0	0
55	50	5	0	0
55	51	2	0	0
55	52	3	0	0
55	53	1	0	0
55	54	3	0	0
56	0	16	12	104
56	1	4	6	49
56	2	1	1	24
56	3	0	0	20
56	4	0	0	11
56	5	0	2	11
56	6	0	0	7
56	7	1	0	8
56	8	1	1	5
56	9	0	0	4
56	10	0	1	4
56	11	1	0	2
56	12	0	3	5
56	13	1	0	9
56	14	1	1	1
56	15	0	0	1
56	16	0	1	0
56	17	0	1	3
56	18	0	0	2
56	19	0	1	3
56	20	1	1	0
56	21	1	0	1
56	22	0	0	2
56	23	0	2	0
56	24	0	2	3
56	25	0	1	2
56	26	0	1	2
56	27	0	1	2
56	28	0	1	0
56	29	0	3	1
56	30	1	0	1
56	32	0	1	1
56	33	0	2	1
56	34	1	3	0
56	36	1	1	0
56	37	0	2	0
56	38	1	1	1
56	39	0	1	0
56	40	2	0	0
56	41	1	1	0
56	42	1	1	0
56	44	0	2	0
56	45	5	0	0
56	47	1	0	0
56	48	2	1	0
56	49	4	0	0
56	50	2	0	0
56	51	1	0	0
56	52	2	0	0
56	53	1	0	0
56	54	3	0	0
56	55	2	0	0
57	0	16	12	123
57	1	2	2	70
57	2	0	0	22
57	3	0	0	21
57	4	0	0	9
57	5	0	1	4
57	6	1	2	5
57	7	0	1	6
57	8	0	0	2
57	9	0	1	4
57	10	0	0	3
57	11	0	0	2
57	12	0	0	1
57	13	0	2	1
57	14	0	0	4
57	15	0	0	4
57	16	0	0	3
57	17	0	0	3
57	18	0	1	1
57	19	0	0	2
57	20	0	0	2
57	21	1	1	0
57	22	0	0	2
57	23	1	0	1
57	24	0	2	2
57	25	0	2	1
57	26	2	1	2
57	27	0	0	1
57	28	0	0	1
57	29	0	3	0
57	30	1	1	2
57	32	1	1	0
57	33	1	0	0
57	34	0	2	0
57	35	1	1	0
57	36	0	2	0
57	37	0	1	1
57	38	1	2	0
57	39	1	1	0
57	40	1	2	0
57	42	1	1	0
57	44	1	0	0
57	45	3	0	0
57	46	3	0	0
57	47	2	2	0
57	48	4	1	0
57	50	2	1	0
57	51	6	0	0
57	52	2	0	0
57	53	4	0	0
57	54	2	0	0
57	55	2	0	0
57	56	1	0	0
58	0	10	18	79
58	1	2	3	60
58	2	0	0	40
58	3	0	0	16
58	4	0	0	5
58	5	0	0	7
58	6	0	0	5
58	7	0	2	9
58	8	0	0	10
58	9	0	0	3
58	10	0	2	5
58	11	0	0	3
58	12	0	1	5
58	13	0	1	2
58	14	0	2	1
58	15	0	0	3
58	16	0	0	2
58	17	0	1	4
58	18	0	1	0
58	19	0	0	2
58	20	0	0	2
58	21	0	0	1
58	22	0	1	6
58	23	0	1	1
58	24	1	3	1
58	25	0	0	2
58	26	0	1	0
58	29	1	1	0
58	30	0	1	2
58	31	0	0	1
58	32	0	1	0
58	33	2	2	0
58	34	0	0	1
58	36	0	1	0
58	38	0	1	0
58	39	1	0	0
58	40	0	1	0
58	42	0	1	0
58	43	1	1	0
58	44	1	0	1
58	45	1	1	0
58	46	3	0	0
58	47	2	0	0
58	48	5	3	0
58	49	2	0	0
58	50	4	0	0
58	51	1	1	0
58	52	3	0	0
58	53	1	0	0
58	54	2	0	0
58	55	1	0	0
58	56	1	0	0
59	0	16	13	106
59	1	3	2	32
59	2	1	0	30
59	3	0	1	11
59	4	0	1	12
59	5	0	2	5
59	6	0	0	8
59	7	1	1	3
59	8	0	0	4
59	9	0	2	2
59	10	0	0	4
59	11	0	0	2
59	12	0	1	2
59	13	0	1	1
59	14	0	1	5
59	16	0	1	1
59	17	0	0	2
59	18	0	1	4
59	19	0	0	4
59	20	0	2	1
59	21	0	0	1
59	22	0	0	2
59	23	0	0	3
59	24	1	0	1
59	26	0	2	1
59	27	0	1	0
59	28	3	1	0
59	29	0	3	0
59	30	0	1	1
59	31	1	1	0
59	32	0	1	0
59	33	0	0	1
59	34	1	2	0
59	35	0	2	0
59	36	0	2	0
59	37	0	2	1
59	38	0	1	0
59	39	1	0	0
59	41	0	1	0
59	42	0	1	0
59	43	1	1	0
59	46	0	2	0
59	48	1	1	0
59	49	1	0	0
59	50	4	0	0
59	51	2	0	0
59	52	2	0	0
59	53	4	0	0
59	54	1	0	0
59	55	2	0	0
59	56	1	0	0
59	58	1	0	0
60	0	14	10	78
60	1	4	1	37
60	2	0	2	22
60	3	1	0	11
60	4	0	0	8
60	5	1	1	10
60	6	0	1	8
60	7	0	0	8
60	8	0	0	7
60	9	1	0	3
60	10	0	0	1
60	11	0	2	3
60	12	0	0	1
60	14	0	1	3
60	15	0	0	1
60	16	0	0	1
60	17	0	0	2
60	18	0	0	1
60	19	0	1	3
60	20	0	2	2
60	21	0	0	2
60	22	1	0	1
60	23	0	0	2
60	24	0	0	2
60	25	0	1	0
60	27	2	0	1
60	28	0	0	4
60	32	0	1	0
60	33	0	1	0
60	34	1	1	1
60	35	0	1	0
60	36	3	1	0
60	38	1	1	0
60	39	1	1	0
60	41	0	1	0
60	42	1	3	0
60	43	1	2	0
60	45	1	0	0
60	46	0	2	0
60	49	2	1	0
60	50	1	0	0
60	51	3	0	0
60	52	2	0	0
60	53	4	0	0
60	54	2	0	0
60	55	2	0	0
60	56	2	0	0
60	57	1	0	0
60	58	1	0	0
61	0	18	14	70
61	1	3	2	48
61	2	1	0	13
61	3	0	0	19
61	4	0	0	7
61	5	0	0	7
61	6	0	1	5
61	7	0	0	3
61	8	0	1	4
61	9	0	1	7
61	10	0	1	6
61	11	0	0	3
61	12	0	2	1
61	13	0	1	2
61	14	0	1	2
61	15	0	2	4
61	16	0	0	1
61	17	0	1	2
61	18	0	0	1
61	19	0	1	1
61	20	0	0	2
61	21	1	1	1
61	22	1	1	2
61	23	2	1	0
61	24	0	0	1
61	25	0	0	1
61	26	0	2	1
61	27	0	0	2
61	29	0	0	1
61	30	0	1	0
61	31	0	1	0
61	32	1	0	0
61	34	1	0	0
61	36	0	1	0
61	38	1	1	1
61	39	0	3	0
61	41	0	2	0
61	42	0	1	0
61	44	0	1	0
61	46	2	0	0
61	47	2	0	0
61	48	1	0	0
61	51	1	1	0
61	52	1	0	0
61	53	2	0	0
61	54	4	0	0
61	55	1	0	0
61	56	2	0	0
61	57	1	1	0
61	58	1	0	0
61	59	1	0	0
62	0	7	6	87
62	1	5	1	50
62	2	0	1	23
62	3	0	0	13
62	4	0	0	5
62	5	1	0	5
62	6	0	1	3
62	7	0	1	5
62	8	0	2	0
62	9	0	0	3
62	10	0	0	2
62	11	0	2	5
62	12	0	0	3
62	13	0	1	1
62	14	0	0	1
62	15	0	0	1
62	16	0	0	1
62	17	0	1	1
62	18	0	0	4
62	19	0	1	1
62	21	0	1	1
62	24	1	0	0
62	25	0	0	2
62	27	3	0	2
62	28	0	0	1
62	30	0	1	1
62	32	0	3	0
62	33	1	0	1
62	34	1	1	0
62	35	0	1	1
62	36	1	0	0
62	37	0	1	1
62	39	1	0	0
62	40	0	2	0
62	41	1	2	0
62	42	0	1	0
62	44	0	2	1
62	45	1	1	0
62	46	1	1	0
62	48	2	0	0
62	49	1	0	0
62	50	1	0	0
62	51	3	1	0
62	52	3	0	0
62	53	3	0	0
62	54	2	0	0
62	55	1	0	0
62	56	3	0	0
62	57	2	0	0
62	58	8	0	0
62	59	2	0	0
62	60	1	0	0
62	62	0	1	0
63	0	12	7	79
63	1	1	4	36
63	2	2	1	21
63	3	0	1	7
63	4	0	0	12
63	5	0	0	7
63	6	0	0	2
63	7	0	0	4
63	8	0	0	7
63	9	0	0	2
63	10	0	0	1
63	11	0	0	3
63	12	0	1	3
63	13	1	1	0
63	14	0	0	2
63	15	0	0	1
63	16	0	1	1
63	17	0	0	1
63	18	0	2	4
63	19	0	1	1
63	20	0	2	1
63	21	0	1	0
63	22	0	1	1
63	23	0	0	2
63	24	0	0	1
63	25	0	0	2
63	26	1	0	1
63	27	1	1	0
63	28	0	1	0
63	29	1	1	1
63	30	0	1	0
63	31	0	1	1
63	32	0	0	2
63	34	0	2	0
63	36	0	0	1
63	39	1	1	0
63	40	1	0	0
63	42	0	1	0
63	43	1	0	0
63	45	2	0	0
63	46	0	1	0
63	47	1	0	0
63	49	1	0	0
63	50	1	1	0
63	51	1	0	0
63	52	2	0	0
63	53	2	1	0
63	54	1	0	0
63	55	2	0	0
63	56	6	0	0
63	57	4	0	0
63	58	1	0	0
63	59	2	0	0
63	61	2	0	0
64	0	7	5	68
64	1	2	2	33
64	2	0	1	27
64	3	0	0	21
64	4	0	0	7
64	5	0	0	5
64	6	0	0	1
64	7	0	0	4
64	8	0	1	2
64	9	0	1	3
64	10	0	0	5
64	11	0	0	1
64	12	0	2	1
64	13	0	3	4
64	14	0	2	0
64	15	0	0	1
64	16	0	1	2
64	17	0	2	2
64	19	0	0	2
64	20	0	0	1
64	21	0	0	1
64	22	0	1	1
64	28	0	0	1
64	29	1	0	0
64	30	1	4	0
64	33	0	1	1
64	36	1	1	0
64	37	0	1	0
64	39	3	0	0
64	40	1	2	0
64	42	1	0	0
64	45	1	0	0
64	48	1	1	0
64	49	0	1	0
64	50	2	0	0
64	52	1	1	0
64	55	1	0	0
64	56	1	0	0
64	57	4	0	0
64	58	1	0	0
64	59	2	0	0
64	60	2	0	0
64	61	1	0	0
64	63	1	0	0
65	0	5	10	65
65	1	2	2	40
65	2	0	1	19
65	3	0	0	11
65	4	0	0	12
65	5	0	1	3
65	6	0	0	5
65	7	0	0	2
65	8	0	0	1
65	9	0	0	2
65	10	0	2	3
65	11	0	0	1
65	12	0	0	4
65	13	0	1	1
65	15	0	1	0
65	16	0	2	1
65	19	0	0	1
65	20	0	0	1
65	21	0	0	2
65	22	0	0	1
65	23	0	0	2
65	24	0	0	2
65	25	0	2	0
65	26	0	1	0
65	28	0	1	1
65	29	0	0	1
65	31	1	0	0
65	32	1	0	0
65	33	1	1	0
65	36	1	3	0
65	37	0	1	1
65	40	0	2	0
65	41	0	2	0
65	43	1	0	0
65	45	0	1	0
65	48	1	0	0
65	49	1	0	0
65	52	1	0	0
65	54	2	0	0
65	55	2	1	0
65	56	5	0	0
65	57	4	0	0
65	58	3	0	0
65	59	2	0	0
65	60	1	0	0
65	61	2	0	0
65	63	2	0	0
66	0	12	8	52
66	1	4	2	20
66	2	1	0	16
66	3	0	1	11
66	4	0	0	5
66	5	0	0	5
66	6	0	0	2
66	7	0	0	5
66	8	0	0	5
66	9	0	1	4
66	10	0	0	3
66	12	0	1	3
66	13	0	1	2
66	14	0	0	1
66	15	0	0	4
66	16	0	2	2
66	17	0	0	1
66	18	0	0	1
66	19	0	0	2
66	20	0	0	2
66	23	0	0	1
66	24	0	0	1
66	26	0	0	1
66	28	0	0	1
66	31	0	1	0
66	32	1	0	0
66	34	0	2	0
66	35	1	0	0
66	36	0	1	0
66	41	1	0	0
66	42	0	1	0
66	43	1	0	0
66	47	2	0	0
66	49	2	0	0
66	50	1	0	0
66	53	1	0	0
66	54	2	0	0
66	56	0	1	0
66	57	3	0	0
66	60	3	0	0
67	0	5	3	44
67	1	3	1	25
67	2	1	0	13
67	3	0	0	11
67	4	0	1	5
67	5	0	0	1
67	6	0	0	7
67	7	0	0	3
67	8	0	1	3
67	9	1	0	1
67	10	0	0	3
67	11	0	0	1
67	12	0	1	2
67	13	0	0	2
67	14	0	0	3
67	15	0	0	1
67	16	0	0	2
67	17	0	1	1
67	18	0	1	2
67	19	0	1	1
67	20	0	1	0
67	21	0	0	1
67	22	0	0	1
67	23	0	0	1
67	24	0	0	1
67	25	0	0	1
67	26	0	0	1
67	27	0	1	1
67	30	1	0	0
67	31	0	1	0
67	33	0	0	1
67	34	0	1	1
67	36	0	0	1
67	37	1	0	0
67	39	0	1	0
67	40	0	1	0
67	43	1	0	0
67	46	0	1	0
67	47	1	1	0
67	51	2	0	0
67	53	1	0	0
67	54	0	1	0
67	56	2	0	0
67	57	0	2	0
67	58	1	0	0
67	60	4	0	0
67	61	1	0	0
67	62	2	0	0
67	64	2	0	0
67	65	1	0	0
67	67	1	0	0
68	0	5	15	54
68	1	1	3	29
68	2	1	0	15
68	3	0	0	9
68	4	0	2	7
68	5	0	0	2
68	6	0	0	5
68	7	0	0	1
68	8	0	1	3
68	9	0	1	0
68	10	0	0	3
68	11	0	0	1
68	12	0	0	2
68	13	0	0	1
68	14	0	2	0
68	15	0	0	2
68	18	0	0	2
68	19	0	0	1
68	21	0	0	2
68	22	0	0	3
68	23	0	0	1
68	24	0	0	1
68	25	0	0	1
68	26	0	0	1
68	27	0	1	0
68	28	0	1	1
68	31	0	0	1
68	33	0	0	1
68	34	0	0	1
68	35	0	2	0
68	38	2	1	1
68	40	0	0	1
68	41	0	1	0
68	42	1	1	0
68	43	1	0	0
68	46	1	0	0
68	52	1	0	0
68	56	1	1	0
68	57	2	0	0
68	58	2	0	0
68	61	3	0	0
68	62	2	0	0
68	63	1	0	0
68	64	3	0	0
68	65	2	0	0
68	66	1	0	0
68	67	2	0	0
69	0	4	5	36
69	1	0	1	22
69	2	0	0	16
69	3	0	0	3
69	4	0	0	3
69	5	0	0	2
69	6	0	0	3
69	8	0	0	1
69	9	0	0	3
69	10	0	1	0
69	11	0	0	2
69	12	0	1	2
69	13	0	0	1
69	15	0	1	1
69	17	1	0	1
69	19	0	1	2
69	20	0	0	1
69	22	0	1	0
69	23	0	2	1
69	27	0	1	1
69	28	1	1	0
69	32	0	1	1
69	34	1	0	0
69	36	1	0	0
69	38	0	1	0
69	41	0	1	0
69	45	1	1	0
69	47	0	1	0
69	51	1	0	0
69	52	0	1	0
69	55	0	1	0
69	57	1	1	0
69	58	0	1	0
69	59	2	0	0
69	61	2	0	0
69	63	1	0	0
69	64	1	0	0
69	66	1	0	0
70	0	12	5	41
70	1	4	2	19
70	2	0	0	12
70	3	0	0	6
70	4	0	0	7
70	5	0	0	6
70	6	0	0	3
70	8	0	0	3
70	9	0	0	1
70	12	0	1	0
70	14	0	1	0
70	15	0	1	0
70	16	0	0	3
70	17	0	1	0
70	19	0	1	0
70	21	1	0	0
70	23	0	0	1
70	24	0	1	0
70	26	1	0	0
70	27	0	1	0
70	28	1	1	0
70	29	0	1	0
70	31	1	1	0
70	32	0	0	1
70	33	0	1	0
70	36	1	0	0
70	38	0	1	0
70	40	0	0	1
70	42	0	1	0
70	43	0	1	0
70	45	0	0	1
70	52	2	0	0
70	54	0	0	1
70	55	1	0	0
70	57	1	0	0
70	58	0	1	0
70	59	1	0	0
70	60	1	0	0
70	61	1	0	0
70	63	3	0	0
70	64	1	0	0
70	66	2	0	0
70	68	1	0	0
71	0	9	7	53
71	1	5	1	23
71	2	0	0	12
71	3	0	1	5
71	4	0	0	2
71	5	0	0	1
71	7	0	0	1
71	8	0	0	1
71	9	0	1	1
71	10	0	0	2
71	11	0	0	1
71	12	0	0	1
71	13	0	0	2
71	14	0	1	1
71	15	0	0	2
71	16	0	0	1
71	17	1	0	0
71	19	0	1	0
71	22	0	0	1
71	24	0	2	1
71	26	0	0	2
71	29	0	1	0
71	32	0	1	1
71	33	0	1	0
71	36	0	0	2
71	37	0	1	0
71	41	1	1	0
71	42	0	1	0
71	44	0	1	0
71	48	1	1	0
71	50	0	1	0
71	54	1	0	0
71	57	1	0	0
71	58	1	0	0
71	60	1	0	0
71	61	1	0	0
71	62	2	0	0
71	63	1	0	0
71	64	2	0	0
72	0	7	6	32
72	1	1	1	23
72	2	1	0	10
72	3	0	0	4
72	4	0	0	8
72	5	0	0	1
72	6	0	2	2
72	8	0	0	1
72	9	0	1	1
72	11	0	0	1
72	12	0	0	6
72	14	0	0	1
72	15	0	0	1
72	16	0	0	1
72	17	0	1	0
72	19	0	0	1
72	22	0	0	1
72	23	0	0	1
72	27	0	0	1
72	29	0	0	1
72	30	0	0	1
72	32	0	1	0
72	35	1	0	0
72	37	0	0	1
72	39	1	1	0
72	40	1	0	0
72	42	1	0	0
72	43	0	3	0
72	49	3	0	0
72	50	1	0	0
72	54	1	0	0
72	55	2	1	0
72	56	1	0	0
72	57	0	1	0
72	58	1	0	0
72	59	1	0	0
72	60	2	1	0
72	61	2	0	0
72	62	0	1	0
72	64	0	1	0
72	66	2	0	0
73	0	7	4	29
73	1	1	2	24
73	2	0	0	7
73	3	0	0	3
73	4	0	0	6
73	5	0	0	4
73	6	0	0	3
73	7	0	0	1
73	9	0	0	3
73	11	0	1	2
73	12	0	0	4
73	13	0	0	1
73	16	0	0	1
73	17	0	0	1
73	18	0	0	2
73	20	0	1	0
73	21	0	1	0
73	22	0	0	1
73	27	0	1	1
73	32	0	0	1
73	38	0	0	1
73	39	1	0	0
73	40	0	1	0
73	41	1	0	0
73	43	0	1	0
73	46	1	0	0
73	50	0	1	0
73	51	0	1	0
73	56	1	1	0
73	59	1	0	0
73	60	1	0	0
73	63	0	1	0
73	65	1	0	0
73	66	1	0	0
73	67	1	0	0
73	68	3	0	0
73	69	1	0	0
73	70	1	0	0
73	71	1	0	0
74	0	3	8	19
74	1	3	1	17
74	2	0	0	2
74	3	0	0	8
74	4	0	0	4
74	5	0	1	1
74	6	0	0	1
74	7	0	0	1
74	8	0	0	3
74	9	0	5	0
74	10	0	1	0
74	11	0	1	1
74	12	0	0	2
74	14	0	2	0
74	15	0	1	0
74	16	0	1	0
74	17	0	0	2
74	19	0	2	0
74	22	1	0	0
74	23	0	0	1
74	24	0	0	1
74	25	0	0	1
74	29	0	1	0
74	33	0	0	1
74	35	0	0	1
74	39	0	1	0
74	41	0	1	0
74	42	1	0	0
74	43	1	0	0
74	45	1	0	0
74	48	1	0	0
74	56	1	0	0
74	60	1	0	0
74	63	1	0	0
74	65	1	0	0
74	66	1	0	0
74	68	2	0	0
75	0	5	6	25
75	1	4	0	19
75	2	0	1	10
75	3	0	0	1
75	4	0	0	3
75	5	0	0	2
75	6	0	0	1
75	7	0	0	2
75	8	0	0	1
75	11	0	1	0
75	17	0	0	1
75	18	0	0	1
75	22	0	0	1
75	23	0	1	0
75	25	0	1	1
75	26	0	2	0
75	28	0	1	0
75	29	0	0	2
75	30	0	0	1
75	31	1	0	0
75	36	1	0	0
75	38	1	1	0
75	40	1	0	0
75	43	2	2	0
75	44	0	0	1
75	45	1	0	0
75	47	1	0	0
75	48	2	0	0
75	53	2	0	0
75	59	0	1	0
75	60	2	0	0
75	66	1	0	0
75	67	2	0	0
75	69	1	0	0
76	0	2	2	33
76	1	1	3	15
76	2	0	0	7
76	3	0	0	3
76	4	0	0	4
76	5	0	0	4
76	7	0	0	2
76	9	1	1	1
76	15	0	0	1
76	18	0	0	1
76	19	0	1	0
76	21	0	0	2
76	23	0	0	1
76	30	0	0	1
76	32	0	0	1
76	36	0	1	0
76	38	2	0	0
76	40	1	0	0
76	41	0	1	0
76	43	1	0	0
76	47	0	1	0
76	49	1	0	0
76	50	0	1	0
76	52	0	1	0
76	53	1	0	0
76	59	1	0	0
76	64	2	0	0
76	65	1	0	0
76	66	1	0	0
76	68	1	0	0
76	70	1	0	0
77	0	4	7	39
77	1	3	4	9
77	2	0	0	3
77	3	0	0	2
77	4	0	0	4
77	5	0	0	2
77	7	1	0	0
77	8	0	0	1
77	9	0	0	3
77	10	0	0	1
77	11	0	0	1
77	12	0	0	2
77	13	0	0	1
77	14	0	0	1
77	15	0	1	1
77	20	0	1	0
77	23	0	0	1
77	25	0	1	0
77	28	1	0	0
77	31	0	1	0
77	32	0	0	1
77	37	1	0	0
77	38	1	0	0
77	44	1	0	0
77	45	0	2	0
77	56	0	1	0
77	57	1	0	0
77	58	0	1	0
77	60	0	1	0
77	61	0	1	0
77	63	1	0	0
77	64	1	0	0
77	65	1	0	0
78	0	2	4	21
78	1	1	4	17
78	2	0	0	5
78	3	0	0	4
78	4	0	0	4
78	5	0	0	1
78	6	0	0	1
78	9	0	0	1
78	10	0	0	1
78	14	0	0	1
78	15	0	0	1
78	16	0	1	1
78	19	0	1	0
78	24	0	1	0
78	26	0	1	0
78	33	0	1	2
78	38	1	0	0
78	48	1	0	0
78	52	1	0	0
78	55	0	1	0
78	59	1	0	0
78	65	1	0	0
78	68	1	0	0
78	70	1	0	0
78	73	1	0	0
79	0	6	3	29
79	1	1	1	14
79	2	0	0	5
79	3	0	0	6
79	4	0	0	1
79	5	0	0	1
79	6	0	1	0
79	8	0	2	1
79	9	0	0	1
79	12	0	0	1
79	13	0	1	0
79	14	0	0	2
79	18	0	1	1
79	22	0	0	1
79	26	0	1	0
79	29	1	0	0
79	30	0	1	0
79	33	0	1	0
79	38	0	0	1
79	41	1	0	0
79	45	0	1	0
79	48	1	0	0
79	50	1	0	0
79	51	1	0	0
79	55	1	0	0
79	63	1	0	0
79	71	1	0	0
79	76	1	0	0
80	0	2	1	13
80	1	1	1	14
80	2	0	1	6
80	3	0	0	2
80	4	0	0	1
80	10	0	1	1
80	11	0	0	1
80	12	0	0	1
80	13	0	1	2
80	15	0	0	1
80	22	0	1	1
80	29	0	0	1
80	35	0	1	0
80	41	1	0	0
80	43	1	0	0
80	59	1	0	0
80	74	1	0	0
80	75	1	0	0
81	0	6	4	19
81	1	1	3	4
81	2	1	0	5
81	3	0	0	3
81	4	0	0	1
81	5	0	0	2
81	12	0	0	2
81	16	0	1	0
81	17	0	1	0
81	23	0	1	0
81	30	1	0	0
81	46	0	1	0
81	51	0	1	0
81	53	0	1	0
81	57	0	1	0
81	64	1	0	0
81	65	2	0	0
81	67	1	0	0
81	69	1	0	0
81	72	1	0	0
82	0	1	3	14
82	1	2	2	7
82	2	0	0	3
82	3	0	0	3
82	4	0	0	1
82	5	0	0	1
82	6	0	0	3
82	8	0	0	1
82	9	0	0	2
82	10	0	2	0
82	12	0	0	2
82	14	0	0	1
82	21	0	1	0
82	25	0	1	0
82	26	0	0	1
82	28	0	1	0
82	32	0	1	0
82	42	0	0	1
82	43	1	0	0
82	45	1	0	0
82	58	1	0	0
82	61	0	1	0
82	65	0	1	0
82	69	1	0	0
82	70	1	0	0
82	74	1	0	0
82	75	1	0	0
83	0	1	2	14
83	1	1	0	13
83	2	0	1	3
83	3	0	0	6
83	4	0	0	1
83	5	0	0	1
83	6	0	0	1
83	8	0	1	0
83	9	0	0	1
83	11	0	0	2
83	17	0	0	1
83	23	0	0	1
83	27	0	1	0
83	29	1	0	0
83	31	0	1	0
83	38	2	0	0
83	39	0	1	0
83	40	1	0	0
83	44	0	1	0
83	45	1	0	0
83	61	0	1	0
83	63	1	0	0
83	68	1	0	0
83	77	2	0	0
83	82	1	0	0
84	0	3	3	9
84	1	1	4	5
84	2	0	0	5
84	3	0	0	2
84	4	0	0	1
84	5	0	1	1
84	7	0	0	1
84	8	0	0	2
84	10	0	0	2
84	11	0	0	1
84	14	1	0	1
84	20	0	0	1
84	24	0	0	2
84	30	0	0	1
84	33	0	1	0
84	38	0	0	1
84	40	1	0	0
84	43	0	1	0
84	44	1	0	0
84	45	1	0	0
84	64	0	1	0
84	67	1	0	0
85	0	4	2	9
85	1	0	0	5
85	2	0	0	2
85	4	0	1	3
85	5	0	0	1
85	6	0	0	3
85	7	0	1	0
85	15	0	2	1
85	16	0	0	1
85	17	0	2	0
85	24	0	1	1
85	28	1	0	0
85	32	0	0	1
85	34	0	2	0
85	44	0	1	0
85	57	1	0	0
85	65	0	1	0
85	72	1	0	0
85	73	1	0	0
86	0	1	0	6
86	1	0	0	5
86	2	0	0	2
86	3	0	0	2
86	9	0	0	1
86	11	0	0	1
86	15	0	0	1
86	48	1	0	0
86	53	0	1	0
86	74	1	0	0
86	82	1	0	0
87	0	0	0	14
87	1	0	0	9
87	2	0	0	3
87	3	0	0	3
87	8	0	0	1
87	10	0	0	1
87	17	0	0	1
87	23	0	0	1
87	36	0	0	1
87	38	0	0	1
87	52	0	1	0
87	54	0	0	1
87	60	1	0	0
87	62	1	0	0
87	77	1	0	0
88	0	1	5	11
88	1	0	0	7
88	2	0	0	2
88	3	0	0	1
88	7	0	0	1
88	8	0	1	0
88	18	0	0	1
88	37	0	1	0
88	40	0	0	1
88	41	0	1	0
88	51	1	0	0
89	0	5	2	7
89	1	2	0	2
89	2	1	0	2
89	3	0	0	2
89	4	0	0	2
89	10	0	0	1
89	11	0	1	0
89	12	1	0	0
89	13	0	1	0
89	31	0	0	1
89	38	1	0	0
89	43	0	0	1
89	45	1	0	0
89	52	0	1	0
89	56	1	0	0
89	58	0	1	0
90	0	3	4	12
90	1	1	1	6
90	8	0	0	1
90	10	0	0	1
90	19	0	1	0
90	24	0	0	1
90	27	0	1	0
90	44	1	0	0
90	59	1	0	0
90	60	1	0	0
90	73	1	0	0
90	77	1	0	0
90	78	1	0	0
90	83	1	0	0
91	0	5	4	5
91	1	1	2	2
91	2	0	0	1
91	3	0	0	1
91	6	0	0	1
91	10	0	0	1
91	38	1	0	0
91	75	1	0	0
92	0	1	2	9
92	1	2	2	5
92	2	0	0	2
92	7	0	0	1
92	8	0	0	1
92	13	0	0	1
92	15	0	0	1
92	22	0	1	0
92	44	1	0	0
92	47	1	0	0
